,社名,タイトル,内容
0,東建コーポレーション株式会社 | エリア勤務でも高収入！地元で安心できる生活を手に入れよう！,仕事内容,【ノルマやテレアポなしの完全反響】クルマの販売や買取をお任せします。 ☆基礎から学べる教育体制 ☆お客様の3人に1人が契約に繋がっている仕組み♪
1,東建コーポレーション株式会社 | エリア勤務でも高収入！地元で安心できる生活を手に入れよう！,対象となる方,【未経験・第二新卒・既卒歓迎♪】人柄や意欲を重視した採用です！　☆未経験スタートが多数活躍中 ☆残業少なめ ☆充実の福利厚生
2,東建コーポレーション株式会社 | エリア勤務でも高収入！地元で安心できる生活を手に入れよう！,勤務地,【全国約300店舗！転勤なし！マイカー通勤OK！】 ★勤務地は希望を最大限考慮します！ ■北海道札…
3,東建コーポレーション株式会社 | エリア勤務でも高収入！地元で安心できる生活を手に入れよう！,給与,月給22万8600円〜70万円（一律手当含む）＋インセンティブ＋賞与年2回＋諸手当 ※年齢・能力を考慮のう…
4,東建コーポレーション株式会社 | エリア勤務でも高収入！地元で安心できる生活を手に入れよう！,初年度年収,330万円～1500万円
5,株式会社ビッグモーター | 平均年収861万円 ◆ 最高月収278万円 ◆ 年収2000万円以上の実績,仕事内容,【平均年収819万円！】使っていない土地の活用方法で悩んでいる地域のお客様を訪問して、アパートや賃貸マンションの経営などを提案します。
6,株式会社ビッグモーター | 平均年収861万円 ◆ 最高月収278万円 ◆ 年収2000万円以上の実績,対象となる方,【業界・営業未経験者歓迎】◆高卒以上　◆要普免（AT限定可）※接客・販売職出身の先輩多数！※多くの人と接することで得た会話力を活かせます
7,株式会社ビッグモーター | 平均年収861万円 ◆ 最高月収278万円 ◆ 年収2000万円以上の実績,勤務地,◆西日本エリアの各拠点で募集 ※Ｉ＆Ｕターン歓迎！ ※各事業所の詳しい住所は、下記「会社情報」欄に…
8,株式会社ビッグモーター | 平均年収861万円 ◆ 最高月収278万円 ◆ 年収2000万円以上の実績,給与,"月給26万3,000円以上＋諸手当＋業績連動成果給 ※月給は、固定残業代【47時間分（6万9,000円以上）】を含…"
9,株式会社ビッグモーター | 平均年収861万円 ◆ 最高月収278万円 ◆ 年収2000万円以上の実績,初年度年収,400万円～1000万円
10,"東建コーポレーション株式会社 | 10人に1人が年収1,000万円を実現しています。",仕事内容,【完全反響スタイル！ノルマなし！】ご来店・問い合わせのあったお客様へ中古車の販売・買取をお任せします。☆知名度や豊富な在庫が活躍を応援！
11,"東建コーポレーション株式会社 | 10人に1人が年収1,000万円を実現しています。",対象となる方,【第二新卒歓迎！異業界出身の先輩が多数活躍中！】応募条件：社会人経験（業界・職種・年数不問）　☆残業少なめ＆月8日以上休み ☆多彩な福利厚生
12,"東建コーポレーション株式会社 | 10人に1人が年収1,000万円を実現しています。",勤務地,【全国約300店舗！転勤なし！マイカー通勤OK！】 ★勤務地は希望を最大限考慮します！ ■北海道…
13,"東建コーポレーション株式会社 | 10人に1人が年収1,000万円を実現しています。",給与,月給22万8600円〜70万円（一律手当含む）＋インセンティブ＋賞与年2回＋諸手当 ※年齢・能力を考慮のう…
14,"東建コーポレーション株式会社 | 10人に1人が年収1,000万円を実現しています。",初年度年収,330万円～1500万円
15,"洛陽交運株式会社 | ヤサカグループ／月額17,000円～即入寮できる社宅あり！",仕事内容,【中途・年齢のハンデなし！】◆使っていない土地の活用方法で悩んでいる地域のお客様を訪問し、アパートや賃貸マンションの経営などを提案します。
16,"洛陽交運株式会社 | ヤサカグループ／月額17,000円～即入寮できる社宅あり！",対象となる方,【業界・期間不問！営業・販売など接客経験者限定の募集！】◆高卒以上／要普免(AT可)★40代女性、30代男性などの接客・販売職出身の先輩多数活躍中！
17,"洛陽交運株式会社 | ヤサカグループ／月額17,000円～即入寮できる社宅あり！",勤務地,◆全国の各拠点 自宅近くの拠点での勤務希望を考慮します。 ※Ｉ＆Ｕターン歓迎！ ※各事業所の詳しい…
18,"洛陽交運株式会社 | ヤサカグループ／月額17,000円～即入寮できる社宅あり！",給与,"月給26万3,000円以上＋諸手当＋業績連動成果給 ※月給は、固定残業代【47時間分（6万9,000円以上）】を含…"
19,"洛陽交運株式会社 | ヤサカグループ／月額17,000円～即入寮できる社宅あり！",初年度年収,400万円～800万円
20,UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証一部上場グループ】★WEB面接OK,仕事内容,【舞妓さんを乗せることも！京都らしさが味わえる】タクシードライバーをお任せ ◆敷地内に必要な設備を完備→効率的に働ける◆働く時間は自分で決定
